House_Number,Road,Town,Postcode,Latitude,Longitude,Bedrooms,Bathrooms,Currently_For_Sale,Month,Year,Price,Rightmove_Link,EPC_Rating,EPC_Score,EPC_Potential_Rating,EPC_Potential_Score,EPC_Certificate_Number,EPC_Link,Floor_Area_(m^2),Floor_Area_(ft^2),Property_Type
73,Orme Road,Bangor,LL57 1AU,53.23210853261390,-4.12016163683334,4,,No,1,2006,136000,https://www.rightmove.co.uk/house-prices/details/england-43821603-52607427?s=25fb486b33ae3bed78b791368d172315769d67721676c8d52e93062b1e0c0b9a#/,D,57,B,82,8164-7827-2900-4030-4996,https://find-energy-certificate.service.gov.uk/energy-certificate/8164-7827-2900-4030-4996,87,936,Mid-terrace
74,Orme Road,Bangor,LL57 1AU,53.23210014931210,-4.12057884292531,,,,,,,,D,65,B,86,0056-2832-7084-9623-5171,https://find-energy-certificate.service.gov.uk/energy-certificate/0056-2832-7084-9623-5171,108,1163,Mid-terrace
76,Orme Road,Bangor,LL57 1AU,53.23213995319860,-4.12054909394138,,,,,,,,C,70,B,86,0100-7741-0122-1304-2823,https://find-energy-certificate.service.gov.uk/energy-certificate/0100-7741-0122-1304-2823,118,1270,End-terrace
78,Orme Road,Bangor,LL57 1AU,53.23227595136040,-4.12044382843452,,,,,,,,C,74,B,87,1229-1328-7000-0146-0206,https://find-energy-certificate.service.gov.uk/energy-certificate/1229-1328-7000-0146-0206,83,893,End-terrace
79,Orme Road,Bangor,LL57 1AU,53.23215439697520,-4.12010127195441,4,,No,9,2001,42000,https://www.rightmove.co.uk/house-prices/details/england-49470465-52607385?s=ebb736816272c17c3f4cc5c155b78126c77bb0235734a6519be98113e8a2ae3b#/,D,55,B,87,8924-7827-2970-3030-4992,https://find-energy-certificate.service.gov.uk/energy-certificate/8924-7827-2970-3030-4992,88,947,Mid-terrace
80,Orme Road,Bangor,LL57 1AU,53.23231448325840,-4.12040895991200,4,1,No,7,2007,173000,https://www.rightmove.co.uk/house-prices/details/england-127874816-52607457?s=26bd97d6f3a9ff485dc5c192f8f4cd50e2943afc444d2cc594c84594307bdef6#/,C,70,B,87,9714-3931-4200-8827-4204,https://find-energy-certificate.service.gov.uk/energy-certificate/9714-3931-4200-8827-4204,80,861,Mid-terrace
81,Orme Road,Bangor,LL57 1AU,53.23218883281490,-4.12005481831535,3,1,No,6,2022,149950,https://www.rightmove.co.uk/house-prices/details/england-111861344-15596947?s=ebe81127382dfad74cc1a1f312ce8979748e5948465b5fda4dd319e8a7595abb#/,C,70,B,88,0411-2000-1207-7219-3200,https://find-energy-certificate.service.gov.uk/energy-certificate/0411-2000-1207-7219-3200,71,764,Mid-terrace
82,Orme Road,Bangor,LL57 1AU,53.23235783162980,-4.12037140913206,3,,No,7,2007,135000,https://www.rightmove.co.uk/house-prices/details/england-127854809-52607460?s=3d709b6b00a9d65b9fde1b7f683fd73f202ca3811b60d3db570814878cb18a25#/,C,71,B,86,9537-0429-3309-0200-2226,https://find-energy-certificate.service.gov.uk/energy-certificate/9537-0429-3309-0200-2226,82,883,Mid-terrace
83,Orme Road,Bangor,LL57 1AU,53.23222857475810,-4.12001496832151,,,No,5,2009,90000,https://www.rightmove.co.uk/house-prices/details/england-52607475?s=4a079a3a18b42d55adbd2cabd11ce88d68141ac22f803221703776982d5be31a#/,D,66,B,84,8251-6920-5499-3137-3902,https://find-energy-certificate.service.gov.uk/energy-certificate/8251-6920-5499-3137-3902,83,893,Mid-terrace
84,Orme Road,Bangor,LL57 1AU,53.23239475801160,-4.12033385826488,3,2,No,3,2023,100000,https://www.rightmove.co.uk/house-prices/details/england-61770154-18046948?s=139d3c13def4fd786ecebe4cc5c0887b0044fb358ad7879214cf757d0c01cc32#/,C,72,B,90,0669-3922-3202-4502-6200,https://find-energy-certificate.service.gov.uk/energy-certificate/0669-3922-3202-4502-6200,82,883,Mid-terrace
85,Orme Road,Bangor,LL57 1AU,53.23226818404330,-4.11997316045979,2,1,No,12,2020,125000,https://www.rightmove.co.uk/house-prices/details/england-11852743?s=80d3830fe5f929d42d29e7c4e8fe4d07e1164f77945fbb3f067e5dd8b540408e#/,D,60,B,90,2928-6046-7228-0712-3960,https://find-energy-certificate.service.gov.uk/energy-certificate/2928-6046-7228-0712-3960,65,700,Mid-terrace
